artist,tags
PENS,"Lo-Fi, riot grrrl, punk, noise pop, female vocalists"
Daniel Licht,"Soundtrack, instrumental, ambient, dexter, composer"
X-Ray Spex,"punk, punk rock, female vocalists, new wave, post-punk"
Citizens!,"seen live, indie, indietronica, british, electronic"
Prinz Pi,"Deutschrap, rap, hip hop, german, Hip-Hop"
Sleeper,"britpop, indie, female vocalists, british, alternative"
The Mekons,"post-punk, punk, british, Alt-country, indie"
花澤香菜,"j-pop, japanese, anime, seiyuu, female vocalists"
Gabriel Rios,"seen live, latin, belgian, pop, singer-songwriter"
Şebnem Ferah,"turkish rock, rock, female vocalists, turkish, alternative"
Iona,"celtic, Progressive rock, folk rock, christian, post-rock"
Delicate Steve,"indie, electronic, seen live, guitar, dance"
Mondo Cane,"mike patton, experimental, italian, seen live, orchestra"
Nena,"german, pop, 80s, new wave, female vocalists"
Эдуард Артемьев,"ambient, electronic, Soundtrack, russian, experimental ambient"
Erkan Oğur,"turkish, folk, ethnic, fretless guitar, guitar"
Doris Day,"jazz, female vocalists, 50s, oldies, easy listening"
Pál Utcai Fiúk,"hungarian, seen live, alternative, alternative rock, rock"
Ihsahn,"Progressive metal, black metal, progressive black metal, Avant-garde Metal, Avant-Garde"
Estradasphere,"experimental, Avant-Garde, jazz, Progressive rock, instrumental"
The JB Conspiracy,"ska punk, ska, seen live, punk, british"
Camille Sauvage,"musique concrete, library music, experimental, instrumental, mutant sounds"
17 Pictures,"ahornfelder, laptop folk, new folk, ambient, electronica"
Au,"experimental, Avant-Garde, freak folk, seen live, ambient"
Bruce Cockburn,"Canadian, singer-songwriter, folk, folk-rock, rock"
Monster Rally,"chillwave, Lo-Fi, electronic, synthpop, chillout"
Weval,"seen live, techno, downtempo, idm, minimal"
Sonic Syndicate,"Melodic Death Metal, metalcore, metal, seen live, swedish"
Steel Panther,"Glam Metal, hard rock, heavy metal, hair metal, seen live"
Sarah Jaffe,"folk, female vocalists, indie pop, dream pop, acoustic"
The Peacocks,"psychobilly, rockabilly, Punkabilly, punk, seen live"
Dub Pistols,"dub, electronic, breakbeat, Hip-Hop, electronica"
Jowie Schulner,"electronic, electronica, synthwave, trance, indie"
Howe Gelb,"Alt-country, singer-songwriter, americana, seen live, folk"
Palace Brothers,"folk, Alt-country, singer-songwriter, indie, americana"
Immanu El,"post-rock, shoegaze, swedish, experimental, indie"
Billy's Band,"blues, jazz, russian, alcojazz, rockabilly"
Alessia Cara,"pop, soul, rnb, Canadian, female vocalists"
Cafe del Mar ChillOut,"pop, soul, rnb, Canadian, female vocalists"
The Sound of Animals Fighting,"experimental, Progressive rock, post-hardcore, Progressive, indie"
Agnetha Fältskog,"pop, swedish, female vocalists, abba, Female Voices"
The Proclaimers,"Scottish, rock, pop, folk, 80s"
Classified,"Hip-Hop, Canadian, rap, hip hop, underground hip hop"
Horkýže Slíže,"punk rock, seen live, slovak, rock, punk"
Kill Hannah,"alternative, alternative rock, rock, seen live, indie"
Hayden,"seen live, singer-songwriter, Canadian, folk, indie"
Faith,"hardcore punk, hardcore, punk, doom metal, japanese"
Sakura,"indie, alternative, alternative rock, russian, russian alternative"
Michael McCann,"Soundtrack, ambient, electronic, instrumental, video game music"
Over the Rhine,"folk, indie, female vocalists, Alt-country, alternative"
La Reine des chansons pour enfants et bébés,"french, nursery rhymes, Chansons pour enfants, comptines"
False,"minimal, black metal, minimal techno, techno, electronic"
Ghislain Poirier,"Hip-Hop, electronic, electronica, hip hop, Canadian"
Ali Farka Touré and Ry Cooder,"african, world, blues, World Music, folk"
Strawberry Switchblade,"new wave, 80s, post-punk, pop, female vocalists"
Talkdemonic,"post-rock, instrumental, seen live, experimental, electronic"
Blank Embrace,"ambient, drone, russian, soundscape, calm"
Milivoj Culibrk,"singer-songwriter, blues rock, folk, rock, blues"
Hala Strana,"psychedelic folk, folk, drone, experimental, psychedelic"
Future Prophecies,"Drum and bass, dnb, Drum n Bass, jungle, electronic"
Early Day Miners,"post-rock, slowcore, indie rock, indie, post rock"
Charles Bradley,"soul, seen live, funk, rhythm and blues, daptone"
Bedřich Smetana,"Classical, romantic, Czech, composer, opera"
The Acorn,"Canadian, indie, folk, seen live, indie rock"
P.O.S.,"Hip-Hop, underground hip-hop, seen live, rap, rhymesayers"
Heralds Of Change,"Hip-Hop, electronic, wonky, instrumental hip-hop, instrumental"
Failure,"space rock, alternative rock, Grunge, alternative, rock"
Tito & Tarantula,"rock, blues, Southern Rock, Garage Rock, alternative"
Geto Boys,"Hip-Hop, rap, Gangsta Rap, hip hop, Dirty South"
The Wallflowers,"rock, alternative, alternative rock, 90s, indie"
Elvenking,"folk metal, Power metal, Folk Power Metal, metal, melodic metal"
DJ Yoda,"turntablism, Hip-Hop, seen live, hip hop, dj"
The Young Knives,"indie rock, indie, british, rock, alternative"
The Boxer Rebellion,"indie rock, indie, british, alternative, seen live"
Fair to Midland,"Progressive rock, alternative metal, alternative, rock, experimental"
abyssal plains,"idm, ambient, electronic, ambiOfusion, netaudio"
Emir Kusturica & The No Smoking Orchestra,"balkan, Gypsy, folk, Soundtrack, world"
Garmarna,"folk, swedish, Scandinavian folk, medieval, folk rock"
Palace,"Alt-country, indie, singer-songwriter, folk, americana"
Grant Lee Buffalo,"alternative, rock, americana, singer-songwriter, indie"
Trobar de Morte,"medieval, neofolk, ethereal, neoclassical, folk"
Cheju,"idm, electronic, glitch, downtempo, electronica"
Koreless,"future garage, dubstep, electronic, 2-step, UK Garage"
Big Youth,"reggae, dub, roots reggae, roots, dancehall"
That Handsome Devil,"alternative rock, funk, rock, jazz, Experimental Rock"
Thirstin Howl III,"rap, underground hip-hop, Hip-Hop, hip hop, new york"
Deichkind,"electronic, seen live, german, Hip-Hop, hip hop"
Angelspit,"industrial, cyberpunk, electronic, ebm, industrial rock"
Narsilion,"ethereal, neoclassical, medieval, darkwave, dark ambient"
Main Source,"Hip-Hop, rap, hip hop, classic hip-hop, new york"
川井憲次,"Soundtrack, japanese, anime, ambient, ost"
KASHIWA Daisuke,"experimental, ambient, electronic, post-rock, japanese"
Blue Note,"jazz, seen live, trance, new york, instrumental rock"
Cool Calm Pete,"Hip-Hop, Def Jux, underground hip-hop, Definitive Jux, new york"
Bernard Parmegiani,"musique concrete, experimental, contemporary classical, Avant-Garde, electronic"
Aesma Daeva,"symphonic metal, Gothic Metal, Female fronted metal, darkwave, Gothic"
Blue Scholars,"Hip-Hop, seattle, hip hop, seen live, underground"
Angus MacLise,"experimental, drone, Avant-Garde, psychedelic, PostEverything"
The Verlaines,"New Zealand, indie pop, flying nun, indie, Kiwi"
Tech N9ne,"rap, Hip-Hop, Horrorcore, Gangsta Rap, hip hop"
HONNE,"electronic, seen live, indie, Neo-Soul, synthpop"
Thou,"Sludge, doom metal, drone, sludge metal, Doom"
Anna Järvinen,"seen live, swedish, singer-songwriter, female vocalists, indie"
SEREBRO,"pop, russian, female vocalists, Eurovision, Eurovision Song Contest"
12 Stones,"alternative rock, rock, christian rock, alternative, hard rock"
We Fell to Earth,"trip-hop, electronic, ambient, alternative, downtempo"
Blind Willie McTell,"blues, delta blues, Classic Blues, country blues, folk"
Tones and I,"pop, australian, indie pop, female vocalists, alternative"
Teebs & Jackhigh,"beats, electronic, Hip-Hop, dubstep, idm"
Unnaddarè,"indie, world, sitar, italian, Italy"
Στέρεο Νόβα,"electronic, Greek, electronica, techno, Ambient Techno"
Kenny Loggins,"80s, rock, pop, singer-songwriter, Soundtrack"
The Auteurs,"britpop, indie, alternative, british, rock"
Codona,"jazz, World Music, world fusion, ECM, world"
Kiln,"ambient, electronic, idm, chillout, atmospheric"
Mooncake,"post-rock, instrumental, russian, experimental, indie"
Sons and Daughters,"seen live, indie, indie rock, Scottish, female vocalists"
Le Petit chanteurs de Saint Marc,"Soundtrack, Classical, choir, french, choral"
Turbonegro,"seen live, death punk, rock, punk rock, punk"
Tina Malia,"female vocalists, folk, Pagan, celtic, world fusion"
Bad Sector,"dark ambient, noise, ambient, experimental, industrial"
Big Troubles,"shoegaze, Lo-Fi, psychedelic, dream pop, noise pop"
A Rocket to the Moon,"powerpop, electronic, electronica, experimental, power pop"
Kerli,"alternative, pop, female vocalists, estonian, rock"
Big Daddy Kane,"Hip-Hop, rap, old school, hip hop, Old School Hip Hop"
Cro-Mags,"hardcore, hardcore punk, crossover, nyhc, punk"
Zoey Van Goey,"seen live, indie pop, Scottish, indie, British Girls"
Luis Alberto Spinetta,"Rock Argentino, rock, argentina, singer-songwriter, Spinetta"
Toby Fox,"Soundtrack, chiptune, undertale, video game music, electronic"
The Hollies,"60s, classic rock, british, rock, oldies"
Whitest Boy Alive,"indie, electronic, seen live, indie pop, norwegian"
Fuzz,"Garage Rock, Stoner Rock, Psychedelic Rock, psychedelic, rock"
The Thrills,"indie, indie rock, irish, rock, seen live"
DJ Sprinkles,"deep house, House, ambient, electronic, ambient house"
Down In June,"neofolk, dark folk, covers, Totenpop, swedish"
The Saints,"punk, punk rock, australian, 70s, rock"
Tosca Tango Orchestra,"tango, instrumental, Soundtrack, Classical, waking life"
Smashing Pumpkins,"alternative rock, rock, alternative, Grunge, 90s"
Randy Crawford,"soul, jazz, female vocalists, Smooth Jazz, funk"
Jagwar Ma,"seen live, psychedelic, australian, indie rock, indie"
P-Model,"new wave, electronic, japanese, post-punk, technopop"
Ex Models,"experimental, noise rock, noise, post-punk, seen live"
Elite Force,"breakbeat, electronic, breaks, electro, electronica"
Heaven in Her Arms,"screamo, post-rock, japanese, experimental, hardcore"
Panophonic,"the music maker society, shoegaze, indie rock, noise, chillout"
Jeremy Warmsley,"seen live, singer-songwriter, indie, acoustic, british"
Seam,"slowcore, indie rock, indie, shoegaze, post-rock"
Matthew Robert Cooper,"ambient, piano, contemporary classical, experimental, neo-classical"
Jehan Barbur,"jazz, female vocalists, acoustic, turkish jazz, singer-songwriter"
Wohnout,"Czech, seen live, rock, punk rock, alternative"
::M∆DE::IN::HEIGHTS::,"electronic, trip-hop, downtempo, witch house, mythical filth pop"
Jelonek,"instrumental, instrumental metal, polish, instrumental rock, art rock"
Beenie Man,"dancehall, reggae, ragga, jamaica, Hip-Hop"
Dave Matthews,"rock, acoustic, singer-songwriter, alternative, Jam"
Carina Round,"female vocalists, indie, indie rock, singer-songwriter, rock"
The Heptones,"reggae, rocksteady, ska, roots reggae, dub"
Delilah,"soul, pop, experimental, female vocalists, trip-hop"
Mick Harris,"dub, electronic, ambient, industrial, dark ambient"
Split Enz,"new wave, New Zealand, 80s, rock, Kiwi"
Bob Marley and the Wailers,"reggae, roots reggae, ska, roots, classic rock"
Skyharbor,"Progressive metal, DJENT, math metal, experimental, Indian"
Group Home,"Hip-Hop, rap, underground hip-hop, hip hop, underground rap"
Chad Valley,"chillwave, electronic, Lo-Fi, synthpop, experimental"
Tribulation,"death metal, old school death metal, swedish, thrash metal, Swedish Death Metal"
Shag,"Hip-Hop, instrumental hip-hop, instrumental, beats, Psychedelic Rock"
Cupp Cave,"experimental, electronic, beats, glitch-hop, Belgium"
Sérgio Godinho,"portuguese, singer-songwriter, Portugal, seen live, political"
Jewel,"female vocalists, pop, singer-songwriter, folk, rock"
Ikonika,"dubstep, electronic, hyperdub, wonky, dub"
The Andrews Sisters,"swing, jazz, female vocalists, oldies, wartime"
The Bats,"New Zealand, indie pop, indie, flying nun, jangle pop"
AlBioRIX,"one man show, albiorix"
Strap the Button,"prog, improv, freak, space rock, experimental"
Oöphoi,"ambient, dark ambient, drone, drone ambient, experimental"
Sperling,"hardcore, Hip-Hop, pop, rap, techno"
Eric Malmberg,"instrumental, swedish, electronica, seen live, folk"
Atomine Elektrine,"dark ambient, ambient, electronic, industrial, Space Ambient"
The Audition,"seen live, pop punk, emo, rock, alternative"
Piero Piccioni,"Soundtrack, lounge, jazz, italian, instrumental"
The Rumble Strips,"indie, seen live, british, indie rock, ska"
The Black Queen,"synthpop, electronic, darkwave, synthwave, seen live"
LAKE R▲DIO,"witch house, electronic, experimental, chillwave, ghost drone"
Grand National,"indie, alternative, rock, indie rock, electronic"
The Primitives,"alternative, 80s, indie, female vocalists, rock"
Plastician,"dubstep, Grime, electronic, dub, seen live"
SMASH Cast,"musical, Soundtrack, pop, classic, Broadway"
Toy,"shoegaze, psychedelic, seen live, synthpop, electronic"
I Cani,"italian, indie, Lo-Fi, electro-pop, synth-pop"
AutoKratz,"electro, electronic, Electroclash, french, seen live"
Barbra Streisand,"female vocalists, pop, 80s, diva, 70s"
Hindi Zahra,"jazz, folk, female vocalists, soul, indie"
Propellerheads,"electronic, big beat, trip-hop, electronica, dance"
Samamidon,"folk, singer-songwriter, indie folk, americana, indie"
Hundred Waters,"electronic, indie, seen live, indie pop, pop"
Jordan Rakei,"soul, rnb, Neo-Soul, electronica, r&b"
The Jayhawks,"Alt-country, americana, rock, country, alt country"
Universal Studios Florida,"psychedelic, ambient, electronic, Lo-Fi, tribal"
Missing Persons,"new wave, 80s, female vocalists, synth pop, electronic"
Béla Fleck and the Flecktones,"jazz, Fusion, bluegrass, instrumental, banjo"
Damageplan,"groove metal, metal, thrash metal, heavy metal, metalcore"
Ronald Jenkees,"electronic, instrumental, keyboard, Hip-Hop, genius"
Club Des Belugas,"lounge, nu-jazz, downtempo, jazz, nu jazz"
Spires That in the Sunset Rise,"experimental, freak folk, psychedelic folk, psychedelic, New Weird America"
Useless ID,"punk rock, pop punk, punk, seen live, israeli"
Marcin Przybyłowicz,"Soundtrack, instrumental, electronic, video game music, polish"
Adiemus,"new age, ambient, choral, world, Classical"
Graffiti Island,"Lo-Fi, experimental, Garage Rock, indie, indie rock"
16bit,"dubstep, electronic, bass, 16 bit, techno"
Redd,"turkish rock, turkish, rock, redd, Turkce Rock"
Parts & Labor,"noise rock, seen live, experimental, indie rock, indie"
Gigi Masin,"ambient, electronic, italian, experimental, seen live"
The Sloppy Boys,punk rock
Koяn,"Nu Metal, metal, alternative, rock, Nu-metal"
Will Wood and the Tapeworms,"cabaret, swing, american, anti-folk, alternative rock"
Les Incompétents,"indie, seen live, british, indie rock, alternative"
The Foreign Exchange,"Hip-Hop, soul, underground hip-hop, hip hop, rap"
I Awake,"ambient, psychill, downtempo, psybient, ultimae records"
Men Eater,"Sludge, seen live, doom metal, portuguese, stoner"
Sangue Misto,"hip hop, rap, italian, Hip-Hop, funk"
Matrix & Futurebound,"Drum and bass, electronic, liquid funk, dnb, futurestep"
Phoenecia,"idm, glitch, electronic, abstract, ambient"
Back & Forth,"Hip-Hop, seen live, abstract, Belgium, abstract hip-hop"
Clare & the Reasons,"female vocalists, indie pop, Canadian, seen live, indie"
Ashnikko,"Hip-Hop, electronic, pop, rap, hip hop"
Pescado Rabioso,"Rock Argentino, rock, 70s, psychedelic, Spinetta"
Britta Persson,"swedish, singer-songwriter, female vocalists, seen live, indie"
Benassi Bros.,"House, electronic, techno, dance, trance"
Angèle,"pop, indie pop, Belgium, belgian, seen live"
Cantoma,"chillout, lounge, downtempo, ambient, worldchill"
Titãs,"rock, brazilian, rock brasileiro, 80s, brasil"
Danny Byrd,"Drum and bass, liquid funk, Hospital Records, dnb, Drum n Bass"
Gregorian,"new age, gregorian, ambient, choir, celtic"
Johann Johannsson,"ambient, contemporary classical, icelandic, experimental, electronic"
Today Is The Day,"experimental, grindcore, noisecore, hardcore, metal"
Nuno Canavarro,"electronic, experimental, glitch, electroacoustic, tape music"
Craig Conner,"Soundtrack, ambient, dark ambient, electronic, manhunt"
Miniature Tigers,"indie, indie rock, indie pop, seen live, pop"
Marc Romboy,"minimal, techno, minimal techno, electronic, electro"
Icon of Coil,"ebm, futurepop, industrial, electronic, synthpop"
Down I Go,"mathcore, experimental, chaotic hardcore, noisecore, disastercore"
RÜFÜS DU SOL,"electronic, House, australian, dance, indie pop"
Wendy Carlos,"electronic, Soundtrack, Classical, experimental, moog"
Panic at the Disco,"rock, alternative, emo, pop punk, indie"
A. G. Cook,"bubblegum bass, electronic, pop, pc music, experimental"
Sigh,"black metal, Avant-garde Metal, japanese, Avant-Garde, Post-Black Metal"
Hey Mercedes,"emo, indie, indie rock, seen live, rock"
The Boys Next Door,"post-punk, australian, punk, alternative, Nick Cave"
The Germs,"punk, hardcore punk, punk rock, hardcore, la punk"
C. Tangana,"seen live, Hip-Hop, spanish, hip hop, rap"
The Left Banke,"baroque pop, 60s, psychedelic, pop, rock"
Blacklisters,"noise rock, hardcore, seen live, post-hardcore, punk"
Florent Marchet,"french, chanson francaise, nouvelle scene francaise, france, francais"
Negramaro,"italian, rock, pop rock, italian rock, pop"
Patrice Gelinet - Radio France,"Radio, podcast, histoire, france inter, Journalisme"
Justice Vs Simian,"electronic, electro, dance, House, electronica"
Aaron Dilloway,"noise, drone, experimental, harsh noise, industrial"
Jeff Beck,"classic rock, rock, blues, guitar virtuoso, guitar"
Beta Evers,"electro, minimal wave, dark electro, minimal synth, nu electro"
OCS,"folk, psychedelic folk, psych-folk, noise, Avant-Garde"
Chiodos,"post-hardcore, screamo, hardcore, emo, seen live"
Todd Merrell,"ambient, dark, soundscape, drone, ethereal"
Geoff White,"minimal, microhouse, minimal techno, techno, electronic"
Holger Czukay,"krautrock, experimental, Avant-Garde, electronic, ambient"
Don Omar,"Reggaeton, latin, Hip-Hop, spanish, latino"
下村陽子,"Soundtrack, video game music, japanese, instrumental, game"
Conrad Schnitzler,"electronic, experimental, krautrock, ambient, Avant-Garde"
Samsas Traum,"Gothic, darkwave, Gothic Metal, german, avantgarde"
Hanggai,"folk, mongolian, throat singing, seen live, chinese"
Laura Pausini,"italian, pop, female vocalists, italian pop, latin"
Alog,"experimental, electronic, ambient, norwegian, Avant-Garde"
Dick Dale & His Del-Tones,"surf rock, Surf, rock, classic rock, Soundtrack"
Maher Shalal Hash Baz,"japanese, Lo-Fi, experimental, psychedelic, indie"
Champion,"hardcore, Straight Edge, hardcore punk, youth crew, oldschool hardcore"
Le Sport,"swedish, electronic, seen live, indie, indie pop"
平沢進,"japanese, electronic, Soundtrack, anime, electronica"
Amaral,"spanish, pop, spanish pop, female vocalists, soft rock"
R. Stevie Moore,"Lo-Fi, experimental, post-punk, indie, seen live"
Maximum the Hormone,"J-rock, hardcore, japanese, J-Metal, punk"
Cameo,"funk, 80s, soul, rnb, dance"
Mela Koteluk,"polish, indie, female vocalists, alternative, seen live"
Little People,"trip-hop, electronic, instrumental, instrumental hip-hop, Hip-Hop"
Home,"chillwave, Progressive rock, synthwave, vaporwave, electronic"
Str8face,"Hip-Hop, UK hip-hop, UKHH, UK hip hop, hip hop"
Stephen Malkmus and the Jicks,"seen live, indie rock, indie, alternative, rock"
Numéro#,"french, electro, montreal, pop, Canadian"
Longpigs,"britpop, indie, alternative, indie rock, rock"
Jane Birkin & Serge Gainsbourg,"french, chanson francaise, chanson, pop, sex"
LSD and the Search for God,"shoegaze, psychedelic, dream pop, experimental, post-rock"
Wermut,"experimental, neofolk, industrial, minimal, electro"
Pig,"industrial, industrial rock, industrial metal, electronic, Wax Trax"
Philippe Jaroussky,"countertenor, Classical, baroque, opera, baroque music"
Colin Blunstone,"pop, classic rock, rock, psychedelic pop, 80s"
Pauline Oliveros,"experimental, Avant-Garde, contemporary classical, electronic, ambient"
The Abyssinians,"reggae, roots reggae, dub, roots, ska"
Wobbler,"Progressive rock, symphonic prog, norwegian, Norway, Progressive"
Fabrizio De Andrè,"italian, singer-songwriter, folk, cantautori, italian songwriters"
Douglas Dare,"seen live, ambient, piano, indie, alternative"
Tiefschwarz,"electronic, House, electro, minimal, seen live"
Captain Planet,"punk rock, seen live, german, punk, alternative"
Riot in Belgium,"electronic, electro, Electroclash, electronica, seen live"
64Revolt,"8-bit, digital hardcore, electronic, swedish, 8bit"
Dvar,"darkwave, experimental, russian, LightWave, Gothic"
Orient Expressions,"turkish, Oriental, world, electronica, Fusion"
Dear Landlord,"pop punk, punk rock, punk, melodic punk, seen live"
Kate Wax,"electronic, electro, seen live, swiss, female vocalists"
Kiss the Anus of a Black Cat,"neofolk, apocalyptic folk, dark folk, folk, belgian"
maudlin of the Well,"Progressive metal, Avant-Garde, Avant-garde Metal, experimental, Progressive rock"
Pat Martino,"jazz, jazz guitar, guitar, Fusion, instrumental"
Homeboy Sandman,"Hip-Hop, underground hip-hop, rap, hip hop, Stones throw"
Bexar Bexar,"ambient, post-rock, instrumental, folktronica, electronica"
Fat Freddys Drop,"dub, reggae, New Zealand, chillout, seen live"
Deep in a Dream,"Hip-Hop, trip-hop, ambient, downtempo, Lo-Fi"
wecamewithbrokenteeth,"grindcore, cybergrind, deathcore, noisecore, hardcore"
James Ruskin,"techno, minimal, minimal techno, electronic, tresor"
Sirenia,"Gothic Metal, symphonic metal, Female fronted metal, metal, Gothic"
Luciano Berio,"contemporary classical, Avant-Garde, Classical, italian, composers"
Luigi Boccherini,"Classical, baroque, italian, composers, instrumental"
Khanate,"drone, doom metal, drone doom, Sludge, Doom"
Slugabed,"dubstep, wonky, electronic, glitch, Hip-Hop"
Brandy,"rnb, soul, female vocalists, pop, Hip-Hop"
Simone White,"female vocalists, singer-songwriter, folk, indie, indie pop"
Closer Musik,"minimal, electronic, Kompakt, techno, microhouse"
Alain Souchon,"chanson francaise, french, pop, chanson, francophone"
Tribraco,"experimental, free jazz, jazz, italian, rock"
Pornopop,"icelandic, ambient, electronic, post-rock, alternative"
Loreen,"pop, swedish, female vocalists, Eurovision, dance"
Le Loup,"indie, experimental, psychedelic, seen live, indie pop"
Leon Bolier,"trance, progressive trance, Tech trance, electronic, Tech-Trance"
7 Year Rabbit Cycle,"noise rock, experimental, no wave, noise, indie"
Old Man Gloom,"Sludge, doom metal, Post-Metal, metal, post-rock"
The Furious Seasons,"jangle pop, pop art"
Kodak Black,"Hip-Hop, rap, trap, hip hop, florida"
Ed Rush & Optical,"Drum and bass, neurofunk, Drum n Bass, dnb, jungle"
A.C. Marias,"shoegaze, ethereal, ambient, electronic, experimental"
Fightstar,"post-hardcore, rock, alternative rock, seen live, emo"
News,"j-pop, Johnnys entertainment, japanese, JPop, News"
Jackie-O Motherfucker,"experimental, psychedelic, post-rock, New Weird America, Avant-Garde"
KC and The Sunshine Band,"Disco, funk, 70s, dance, pop"
The King Khan & BBQ Show,"Garage Rock, garage, Garage Punk, trash blues, seen live"
Sven Van Hees,"lounge, chillout, downtempo, electronic, smooth lounge"
Killola,"rock, female vocalists, indie, indie rock, FUCKING AWESOME"
Golden Boy with Miss Kittin,"Electroclash, electronic, electro, synthpop, electronica"
Some Girls,"hardcore, grindcore, noisecore, screamo, thrash"
Deströyer 666,"black metal, thrash metal, blackened thrash metal, death metal, australian"
The Focus Group,"hauntology, ghost box, experimental, library music, memoradelia"
Jerry Lewis,"reggae, jazz, oldies, funny, rock"
I:Cube,"electronic, downtempo, lounge, chillout, electronica"
Mallu Magalhães,"folk, brazilian, indie, female vocalists, singer-songwriter"
Recloose,"electronic, Broken Beat, detroit, techno, electronica"
Arthur Verocai,"jazz, Bossa Nova, brazilian, mpb, world"
Duran Duran Duran,"breakcore, idm, electronic, Drill n Bass, noise"
Hundreds,"seen live, electronic, indie, german, ambient"
Eyes Set to Kill,"post-hardcore, screamo, emocore, female vocalist, hardcore"
Nathan Lee,"piano, indie, alternative, womad 2008, electronica"
Thomas Azier,"electropop, seen live, synthpop, electronic, dutch"
Cody ChesnuTT,"soul, Neo-Soul, funk, Hip-Hop, seen live"
Beltaine,"celtic, folk, polish, irish, pagan metal"
For The Glory,"hardcore, seen live, portuguese, metalcore, hardcore punk"
Guy Sweens,"new age, ambient, atmospheric, relax, electronic"
Dear and the Headlights,"indie, seen live, indie rock, rock, alternative"
Radiator Hospital,"Lo-Fi, pop punk, indie, seen live, power pop"
Psy,"k-pop, Korean, pop, Hip-Hop, psy"
Geographer,"indie pop, electronic, indie, indietronica, seen live"
The Haunted,"thrash metal, Melodic Death Metal, seen live, metal, death metal"
Steve Bug,"minimal, techno, minimal techno, electronic, minimal house"
Soen,"Progressive metal, Progressive rock, metal, swedish, seen live"
Richie Kotzen,"rock, guitar virtuoso, hard rock, guitar, Fusion"
Coph Nia,"dark ambient, industrial, ambient, experimental, cold meat industry"
Jinjer,"metalcore, Progressive metal, groove metal, Ukrainian, seen live"
The Mind Orchestra,"ambient, folk, Fusion, psychedelic, under 2000 listeners"
Badun,"idm, electronic, glitch, future-jazz, jazz"
Charlottefield,"math rock, post-rock, noise rock, seen live, experimental"
Alan Menken,"Soundtrack, Disney, musical, instrumental, composer"
Yuri Buenaventura,"salsa, latin, Colombia, french, tango"
Skyphone,"electronic, ambient, experimental, electronica, Rune Grammofon"
The Zebras,"indie pop, australian, seen live, 00s, indie"
Veroxity,"death metal, metal, grindcore, german, herten"
Celtic Cross,"ambient, psychill, psychedelic, psytrance, electronic"
Xmal Deutschland,"post-punk, Gothic Rock, new wave, goth, german"
Enrico Caruso,"opera, tenor, Classical, italian, 10s"
Space Dimension Controller,"electro, electronic, idm, Disco, seen live"
Days,"indie pop, swedish, twee, indie, seen live"
Carpenter Brut,"synthwave, electronic, retro electro, electro, retrowave"
Tiziano Ferro,"italian, pop, male vocalists, italian pop, Tiziano Ferro"
Âme,"minimal, deep house, House, techno, electronic"
Cal Tjader,"jazz, latin jazz, latin, Vibraphone, Bossa Nova"
Anastacia,"pop, female vocalists, soul, rock, female"
Modjo,"House, dance, electronic, french, pop"
Gentle Touch,"synthpop, swedish, electronic, seen live, indie"
Matt Nathanson,"singer-songwriter, acoustic, indie, Acoustic Rock, rock"
Le Castle Vania,"electro, electronic, disco punk, seen live, dance"
Buddha Bar,"chillout, ambient, lounge, electronic, World Music"
Blue Cheer,"Psychedelic Rock, hard rock, blues rock, classic rock, psychedelic"
John Watermann,"experimental, industrial, Avant-Garde, dark ambient, ambient"
Lou Harrison,"contemporary classical, Avant-Garde, gamelan, Classical, experimental"
DSA Commando,"rap, Death Rap, italian, Horrorcore, hip hop"
Gamardah Fungus,"drone, ambient, dark ambient, dark jazz, instrumental"
Lux,"chillout, ambient, downtempo, electronic, electronica"
Don Lennon,"indie pop, indie, seen live, singer-songwriter, gay"
Gabriel & Dresden,"trance, progressive trance, electronic, Progressive House, House"
Celtic Woman,"celtic, female vocalists, irish, new age, folk"
Bugz in the Attic,"Broken Beat, electronic, nu jazz, electronica, jazz"
Seventeen,"k-pop, pop, power pop, rock, Kpop"
Kite,"synthpop, seen live, swedish, electronica, electronic"
Danger Mouse and Sparklehorse,"experimental, indie, indie rock, alternative, rock"
Nick Mulvey,"acoustic, singer-songwriter, british, seen live, folk"
LHR-Left Hand Red,"experimental, idm, electronic, broken-beat, ambient"
Twerps,"indie, Lo-Fi, seen live, australian, indie rock"
Keluar,"darkwave, synthpop, post-punk, electronic, minimal synth"
Ras G & The Afrikan Space Program,"Hip-Hop, experimental, electronic, glitch, abstract hip-hop"
Dettinger,"electronic, ambient, Kompakt, minimal, techno"
Sam Phillips,"singer-songwriter, female vocalists, indie, alternative, Gilmore Girls"
Position Parallèle,"synthpop, french, electronic, Minimal Electro, electronica"
Hayko Cepkin,"turkish rock, rock, turkish, alternative, electronic rock"
Final,"ambient, dark ambient, experimental, electronic, drone"
Althea & Donna,"reggae, roots reggae, female vocalists, jamaican, jamaica"
Half Japanese,"Lo-Fi, post-punk, indie rock, punk, indie"
The Sea Urchins,"twee, indie pop, Sarah Records, c86, indie"
Dokken,"hard rock, heavy metal, hair metal, 80s, rock"
X-Patriate (Alan J. Lipman),"blues, relax, trip-hop, triphop, singer-songwriter"
Sidney Bechet,"jazz, swing, New Orleans, saxophone, dixieland"
Vanessa Hudgens,"pop, female vocalists, Disney, Vanessa Hudgens, rnb"
Liliput,"post-punk, punk, new wave, swiss, female vocalists"
Elvis Depressedly,"Lo-Fi, experimental, shoegaze, ambient, indie"
No Kids,"seen live, indie pop, indie, Canadian, alternative"
